GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US01003,01003,"Baldwin County, Alabama",0.430,0.022
0500000US01015,01015,"Calhoun County, Alabama",0.456,0.030
0500000US01043,01043,"Cullman County, Alabama",0.461,0.029
0500000US01049,01049,"DeKalb County, Alabama",0.438,0.033
0500000US01051,01051,"Elmore County, Alabama",0.384,0.025
0500000US01055,01055,"Etowah County, Alabama",0.436,0.023
0500000US01069,01069,"Houston County, Alabama",0.491,0.028
0500000US01073,01073,"Jefferson County, Alabama",0.494,0.019
0500000US01077,01077,"Lauderdale County, Alabama",0.457,0.022
0500000US01081,01081,"Lee County, Alabama",0.485,0.016
0500000US01083,01083,"Limestone County, Alabama",0.455,0.026
0500000US01089,01089,"Madison County, Alabama",0.436,0.011
0500000US01095,01095,"Marshall County, Alabama",0.437,0.024
0500000US01097,01097,"Mobile County, Alabama",0.475,0.017
0500000US01101,01101,"Montgomery County, Alabama",0.476,0.018
0500000US01103,01103,"Morgan County, Alabama",0.464,0.030
0500000US01115,01115,"St. Clair County, Alabama",0.406,0.027
0500000US01117,01117,"Shelby County, Alabama",0.430,0.020
0500000US01121,01121,"Talladega County, Alabama",0.450,0.026
0500000US01125,01125,"Tuscaloosa County, Alabama",0.520,0.025
0500000US01127,01127,"Walker County, Alabama",0.421,0.028
0500000US02020,02020,"Anchorage Municipality, Alaska",0.429,0.018
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",0.413,0.034
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",0.388,0.023
0500000US04001,04001,"Apache County, Arizona",0.497,0.026
0500000US04003,04003,"Cochise County, Arizona",0.458,0.028
0500000US04005,04005,"Coconino County, Arizona",0.457,0.029
0500000US04013,04013,"Maricopa County, Arizona",0.449,0.006
0500000US04015,04015,"Mohave County, Arizona",0.439,0.025
0500000US04017,04017,"Navajo County, Arizona",0.434,0.029
0500000US04019,04019,"Pima County, Arizona",0.455,0.010
0500000US04021,04021,"Pinal County, Arizona",0.402,0.018
0500000US04025,04025,"Yavapai County, Arizona",0.439,0.024
0500000US04027,04027,"Yuma County, Arizona",0.435,0.024
0500000US05007,05007,"Benton County, Arkansas",0.448,0.036
0500000US05031,05031,"Craighead County, Arkansas",0.444,0.022
0500000US05045,05045,"Faulkner County, Arkansas",0.463,0.028
0500000US05051,05051,"Garland County, Arkansas",0.496,0.046
0500000US05069,05069,"Jefferson County, Arkansas",0.493,0.062
0500000US05119,05119,"Pulaski County, Arkansas",0.487,0.017
0500000US05125,05125,"Saline County, Arkansas",0.380,0.019
0500000US05131,05131,"Sebastian County, Arkansas",0.460,0.032
0500000US05143,05143,"Washington County, Arkansas",0.432,0.018
