GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US01003,01003,"Baldwin County, Alabama",0.4371,0.0186
0500000US01015,01015,"Calhoun County, Alabama",0.4563,0.0216
0500000US01043,01043,"Cullman County, Alabama",0.4453,0.0431
0500000US01049,01049,"DeKalb County, Alabama",0.4131,0.0339
0500000US01051,01051,"Elmore County, Alabama",0.3744,0.0218
0500000US01055,01055,"Etowah County, Alabama",0.4467,0.0237
0500000US01069,01069,"Houston County, Alabama",0.4888,0.0157
0500000US01073,01073,"Jefferson County, Alabama",0.4968,0.0112
0500000US01077,01077,"Lauderdale County, Alabama",0.4662,0.0211
0500000US01081,01081,"Lee County, Alabama",0.4680,0.0181
0500000US01083,01083,"Limestone County, Alabama",0.4492,0.0242
0500000US01089,01089,"Madison County, Alabama",0.4538,0.0157
0500000US01095,01095,"Marshall County, Alabama",0.4673,0.0276
0500000US01097,01097,"Mobile County, Alabama",0.4792,0.0186
0500000US01101,01101,"Montgomery County, Alabama",0.4875,0.0259
0500000US01103,01103,"Morgan County, Alabama",0.4475,0.0239
0500000US01115,01115,"St. Clair County, Alabama",0.4278,0.0396
0500000US01117,01117,"Shelby County, Alabama",0.4477,0.0306
0500000US01121,01121,"Talladega County, Alabama",0.4626,0.0333
0500000US01125,01125,"Tuscaloosa County, Alabama",0.4787,0.0195
0500000US01127,01127,"Walker County, Alabama",0.4719,0.0360
0500000US02020,02020,"Anchorage Municipality, Alaska",0.4204,0.0160
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",0.4349,0.0470
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",0.4137,0.0151
0500000US04001,04001,"Apache County, Arizona",0.4637,0.0210
0500000US04003,04003,"Cochise County, Arizona",0.4662,0.0349
0500000US04005,04005,"Coconino County, Arizona",0.4816,0.0249
0500000US04013,04013,"Maricopa County, Arizona",0.4609,0.0055
0500000US04015,04015,"Mohave County, Arizona",0.4554,0.0272
0500000US04017,04017,"Navajo County, Arizona",0.4572,0.0266
0500000US04019,04019,"Pima County, Arizona",0.4728,0.0093
0500000US04021,04021,"Pinal County, Arizona",0.3889,0.0128
0500000US04025,04025,"Yavapai County, Arizona",0.4198,0.0176
0500000US04027,04027,"Yuma County, Arizona",0.4189,0.0167
0500000US05007,05007,"Benton County, Arkansas",0.4482,0.0212
0500000US05031,05031,"Craighead County, Arkansas",0.4534,0.0381
0500000US05045,05045,"Faulkner County, Arkansas",0.4242,0.0218
0500000US05051,05051,"Garland County, Arkansas",0.4830,0.0334
0500000US05069,05069,"Jefferson County, Arkansas",0.4702,0.0281
0500000US05085,05085,"Lonoke County, Arkansas",0.4055,0.0422
0500000US05119,05119,"Pulaski County, Arkansas",0.4850,0.0161
0500000US05125,05125,"Saline County, Arkansas",0.3759,0.0216
0500000US05131,05131,"Sebastian County, Arkansas",0.4695,0.0351
0500000US05143,05143,"Washington County, Arkansas",0.4826,0.0208
0500000US05145,05145,"White County, Arkansas",0.4542,0.0262
0500000US06001,06001,"Alameda County, California",0.4753,0.0074
0500000US06007,06007,"Butte County, California",0.4635,0.0178
0500000US06013,06013,"Contra Costa County, California",0.4617,0.0092
0500000US06017,06017,"El Dorado County, California",0.4248,0.0214
0500000US06019,06019,"Fresno County, California",0.4782,0.0093
0500000US06023,06023,"Humboldt County, California",0.4586,0.0210
0500000US06025,06025,"Imperial County, California",0.4673,0.0188
0500000US06029,06029,"Kern County, California",0.4585,0.0111
0500000US06031,06031,"Kings County, California",0.4595,0.0398
0500000US06033,06033,"Lake County, California",0.4725,0.0400
0500000US06037,06037,"Los Angeles County, California",0.4965,0.0032
0500000US06039,06039,"Madera County, California",0.4730,0.0294
0500000US06041,06041,"Marin County, California",0.5173,0.0187
0500000US06045,06045,"Mendocino County, California",0.4327,0.0176
0500000US06047,06047,"Merced County, California",0.4518,0.0192
0500000US06053,06053,"Monterey County, California",0.4390,0.0146
0500000US06055,06055,"Napa County, California",0.4500,0.0216
0500000US06057,06057,"Nevada County, California",0.4299,0.0383
0500000US06059,06059,"Orange County, California",0.4643,0.0064
0500000US06061,06061,"Placer County, California",0.4322,0.0158
0500000US06065,06065,"Riverside County, California",0.4404,0.0055
0500000US06067,06067,"Sacramento County, California",0.4561,0.0069
0500000US06071,06071,"San Bernardino County, California",0.4390,0.0077
0500000US06073,06073,"San Diego County, California",0.4665,0.0060
